Årmåned_salg;case_type_dk;municipality_name;zip_code;zip_code_name;erts89_utm32_x;erts89_utm32_y;ed50_x;ed50_y;wgs84_lat;wgs84_lon;grundareal;boligareal;vægtet_areal;energimærke_påkrævet;energimærke;antvandskyltoilleter;opvarmningskode;varmeinstallationskode;ydervægkode;byggeår;renoveringsår;md_ejerudgifter;første_udbudspris;senest_annonceret_pris;tinglyst_pris;dage_på_markedet_v_seneste_mægler;dage_på_markedet_v_alle_mæglere
202106;Ejerlejlighed;København;2300;København S;727862.6872639733;6174337.999818213;727944.7664431604;6174544.116071201;55,66131942;12,62279772;;62;62;FALSE;d;1;9999;9999;9999;1932;;2671;2745000;2745000;2745000;0;0
201505;Ejerlejlighed;København;2100;København Ø;725445.7361631909;6179472.560200742;725527.8133939004;6179678,715;55,70849224;12,58867484;420;56;56;TRUE;d;1;9999;9999;9999;1906;1971;1775;1695000;1645000;1645000;181;352
202012;Ejerlejlighed;København;2100;København Ø;725448.3122734487;6179473.499906095;725530.3895227044;6179679.654601837;55,70849947;12,58871653;;56;56;TRUE;d;1;9999;9999;9999;1906;1971;1897;2445000;2395000;2350000;167;345
201201;Ejerlejlighed;København;2200;København N;723922.7429318796;6177495.570333089;724004.8055367098;6177701,717;55,6914679;12,56286922;;123;123;TRUE;d;1;9999;9999;9999;1868;;;3195000;2895000;2750000;116;116
201302;Ejerlejlighed;København;2200;København N;722915.0002698537;6177598.999896816;722997.0568280112;6177805.149356479;55,69285924;12,54695349;;94;94;TRUE;d;1;9999;9999;9999;1905;;;2395000;2395000;2250000;15;15
201909;Ejerlejlighed;København;2200;København N;722944.7555545691;6177653.313569978;723026,8124;6177859,463;55,69333267;12,54747009;;92;92;TRUE;d;1;9999;9999;9999;1906;;3532;3395000;3395000;3395000;26;26
201411;Ejerlejlighed;København;2100;København Ø;724855.9199718065;6179210.2304722015;724937.9928346243;6179416.385041329;55,70641342;12,57909133;;71;71;TRUE;d;1;9999;9999;9999;1905;2001;;2450000;2450000;2450000;4;4
201503;Ejerlejlighed;København;2300;København S;724566.7200985949;6173892.120248035;724648.7774643536;6174098.242176448;55,65885486;12,57014551;;73;73;TRUE;b;1;9999;9999;9999;2006;;2918;2495000;2495000;2450000;20;20
201709;Ejerlejlighed;København;2300;København S;727624.4797580192;6173055.1601035725;727706.5541494214;6173261.268909004;55,64992714;12,61795651;;37;37;TRUE;d;1;9999;9999;9999;1933;;1718;1295000;1295000;1295000;39;39
201409;Ejerlejlighed;København;2720;Vanløse;719463.7647059616;6177512.572106109;719545.7994203328;6177718.729930413;55,69365664;12,49208464;2513;54;54;TRUE;c;1;9999;9999;9999;1936;;;895000;895000;835000;116;116
201807;Ejerlejlighed;København;2200;København N;722801.0301177651;6177738.559844952;722883.0863215614;6177944.710474262;55,69416316;12,54525733;;58;58;TRUE;d;1;9999;9999;9999;1904;;2599;3095000;3095000;3005000;9;9
201502;Ejerlejlighed;København;2100;København Ø;724225.3702156097;6180078,831;724307.4413662443;6180284.9921577675;55,71449476;12,56978765;;59;59;TRUE;d;1;9999;9999;9999;1906;1999;2103;1795000;1795000;1775000;12;12
202012;Ejerlejlighed;København;1666;København V;723044.8013433907;6175096.074755937;723126.8522666593;6175302.208167352;55,67035294;12,5469799;;71;71;FALSE;d;1;9999;9999;9999;1970;1992;2259;2995000;2995000;2995000;;
201704;Ejerlejlighed;København;1666;København V;723055.0799617126;6175058.730454058;723137.1308532142;6175264.863604446;55,67001331;12,54711267;;71;71;TRUE;d;1;9999;9999;9999;1970;1992;1824;2195000;2295000;2195000;45;45
202011;Ejerlejlighed;København;1666;København V;723036.2318850975;6175134.342846226;723118.2828532284;6175340.476520066;55,67070007;12,546875;;71;71;TRUE;d;1;9999;9999;9999;1970;1992;2060;2995000;2995000;2960000;21;21
201601;Ejerlejlighed;København;2300;København S;727767.9398262552;6174250.480340911;727850.0181866526;6174456.596287544;55,660579;12,62122215;;52;52;TRUE;d;1;9999;9999;9999;1937;;1756;1650000;1550000;1550000;112;112
202103;Ejerlejlighed;København;1674;København V;722987.8347878255;6175093.583940955;723069,8853;6175299.717483556;55,67035675;12,54607391;;87;87;TRUE;e;1;9999;9999;9999;1895;;2958;3995000;3995000;4028000;6;6
201308;Ejerlejlighed;København;1674;København V;722988.0001446663;6175093.000311984;723070.0507039318;6175299.133850496;55,67035144;12,54607606;;87;87;TRUE;d;1;9999;9999;9999;1895;;;2299000;2199000;2000000;61;61
201501;Ejerlejlighed;København;1674;København V;722988.3701507536;6175093.429585272;723070.4207134445;6175299.5631255265;55,67035512;12,54608228;;87;87;TRUE;d;1;9999;9999;9999;1895;;2866;2695000;2605000;2605000;186;186
201905;Ejerlejlighed;København;2500;Valby;719536.5623552419;6173751.000384942;719618.5878118967;6173957.134400009;55,65988721;12,49023195;;54;54;TRUE;d;1;9999;9999;9999;1936;;2945;1595000;1595000;1550000;13;13
201609;Ejerlejlighed;København;2500;Valby;719559.3997854741;6173751.140388677;719641.4253857149;6173957.274345622;55,65987815;12,49059438;;54;54;TRUE;d;1;9999;9999;9999;1936;;2950;1495000;1495000;1400000;24;24
201810;Ejerlejlighed;København;2500;Valby;721234.7497064302;6174225.089915114;721316.7870359931;6174431.222523827;55,6633691;12,51755497;;74;74;TRUE;f;1;9999;9999;9999;1932;;2494;2695000;2695000;2600000;83;83
202110;Ejerlejlighed;København;2500;Valby;721234.7498783496;6174224.999607733;721316.7872076803;6174431.132215878;55,66336829;12,5175549;;74;74;TRUE;f;1;9999;9999;9999;1932;;2518;3598000;3399000;3399000;116;116
201711;Ejerlejlighed;København;2100;København Ø;724059.5302179086;6179814.449796705;724141.5996496996;6180020.610206584;55,71220044;12,56693682;;54;54;TRUE;d;1;9999;9999;9999;1932;;2451;2499000;2495000;2440000;69;69
201403;Ejerlejlighed;København;2200;København N;722372.9702244995;6178096.669886328;722455.0246698346;6178302.823866609;55,69757106;12,53875101;;86;86;TRUE;d;1;9999;9999;9999;1907;;;2295000;2295000;2250000;19;19
201412;Ejerlejlighed;København;2100;København Ø;723649.7451001646;6179635.559943017;723731.8115057861;6179841,72;55,71078525;12,56028127;;79;79;TRUE;d;1;9999;9999;9999;1906;;;1899000;1899000;1899000;11;11
201902;Ejerlejlighed;København;2100;København Ø;723649.7451001646;6179635.559943017;723731.8115057861;6179841,72;55,71078525;12,56028127;;79;79;TRUE;d;1;9999;9999;9999;1906;;3117;2499000;2499000;2480000;84;84
201202;Ejerlejlighed;København;2200;København N;723955.9996926249;6177468.000165677;724038.0624348128;6177674.146120668;55,69120531;12,56337471;;58;58;TRUE;d;1;9999;9999;9999;1868;;;1598000;1398000;1250000;341;341
201712;Ejerlejlighed;København;2720;Vanløse;719255.0999321968;6176626.870066749;719337.1310515902;6176833.022870664;55,6858073;12,48806321;;78;78;TRUE;c;1;9999;9999;9999;1963;;3144;2450000;2350000;2350000;117;117
202202;Ejerlejlighed;København;2200;København N;723455.3124065596;6177226,5;723537.3713901067;6177432.645337702;55,68927022;12,5552287;;123;123;TRUE;d;2;9999;9999;9999;1890;;4173;6795000;6795000;6600000;87;87
201806;Ejerlejlighed;København;2500;Valby;720667.5802834224;6174131.859948088;720749.6138159421;6174337.993435021;55,66279082;12,50848127;;76;76;FALSE;d;1;9999;9999;9999;1959;;4379;2945000;2945000;2945000;0;0
201602;Ejerlejlighed;København;2720;Vanløse;719187.2388036288;6176719.643565561;719269.2697374148;6176925.797127253;55,68667;12,48706;;51;51;TRUE;d;1;9999;9999;9999;1935;;2221;1398000;1398000;1450000;8;89
201504;Ejerlejlighed;København;1666;København V;723248.2200878398;6175055.539782066;723330.2721819157;6175261.672414651;55,66989599;12,55017486;;63;63;TRUE;d;1;9999;9999;9999;1883;;2839;2895000;2895000;2850000;43;43
