År,Uge,Lang rente
2020,23,1.16
2020,22,1.17
2020,21,1.16
2020,20,1.35
2020,19,1.14
2020,18,1.39
2020,17,1.53
2020,16,1.71
2020,15,1.64
2020,14,1.22
2020,13,1.81
2020,12,1.29
2020,11,1.15
2020,10,0.75
2020,9,0.91
2020,8,0.98
2020,7,1.39
2020,6,1.01
2020,5,1.03
2020,4,1.07
2020,3,1.09
2020,2,1.08
2020,1,1.44
2019,52,1.08
2019,51,1.10
2019,50,1.08
2019,49,1.59
2019,48,1.07
2019,47,1.09
2019,46,1.51
2019,45,1.10
2019,44,1.05
2019,43,1.05
2019,42,0.99
2019,41,0.84
2019,40,0.88
2019,39,0.91
2019,38,0.91
2019,37,0.82
2019,36,0.68
2019,35,0.78
2019,34,0.88
2019,33,0.97
2019,32,1.01
2019,31,1.29
2019,30,1.16
2019,29,1.21
2019,28,1.18
2019,27,1.12
2019,26,1.16
2019,25,1.14
2019,24,1.32
2019,23,1.41
2019,22,1.70
2019,21,1.53
2019,20,1.52
2019,19,1.56
2019,18,1.59
2019,17,1.59
2019,16,1.62
2019,15,1.58
2019,14,1.58
2019,13,1.57
2019,12,1.62
2019,11,1.67
2019,10,1.74
2019,9,1.76
2019,8,1.74
2019,7,1.87
2019,6,1.90
2019,5,1.98
2019,4,1.99
2019,3,2.01
2019,2,2.03
2019,1,1.96
2018,52,2.07
2018,51,2.06
2018,50,2.07
2018,49,2.08
2018,48,2.09
2018,47,2.07
2018,46,2.07
2018,45,2.09
2018,44,2.09
2018,43,2.09
2018,42,2.10
2018,41,2.11
2018,40,2.08
2018,39,2.09
2018,38,2.07
2018,37,2.07
2018,36,2.06
2018,35,2.07
2018,34,2.06
2018,33,2.06
2018,32,2.08
2018,31,2.11
2018,30,2.08
2018,29,2.05
2018,28,2.07
2018,27,2.05
2018,26,2.07
2018,25,2.10
2018,24,2.14
2018,23,2.12
2018,22,2.09
2018,21,2.13
2018,20,2.17
2018,19,2.18
2018,18,2.13
2018,17,2.17
2018,16,2.11
2018,15,2.09
2018,14,2.08
2018,13,2.14
2018,12,2.17
2018,11,2.20
2018,10,2.29
2018,9,2.33
2018,8,2.40
2018,7,2.39
2018,6,2.26
2018,5,2.17
2018,4,2.12
2018,3,2.08
2018,2,2.05
2018,1,2.05
2017,52,2.07
2017,51,2.05
2017,50,2.03
2017,49,2.04
2017,48,2.06
2017,47,2.07
2017,46,2.10
2017,45,2.08
2017,44,2.11
2017,43,2.15
2017,42,2.12
2017,41,2.12
2017,40,2.12
2017,39,2.15
2017,38,2.15
2017,37,2.15
2017,36,2.16
2017,35,2.34
2017,34,2.34
2017,33,2.47
2017,32,2.47
2017,31,2.18
2017,30,2.21
2017,29,2.20
2017,28,2.23
2017,27,2.21
2017,26,2.38
2017,25,2.17
2017,24,2.36
2017,23,2.32
2017,22,2.38
2017,21,2.28
2017,20,2.61
2017,19,2.27
2017,18,2.22
2017,17,2.32
2017,16,2.51
2017,15,2.18
2017,14,2.18
2017,13,2.38
2017,12,2.34
2017,11,2.41
2017,10,2.29
2017,9,2.32
2017,8,2.41
2017,7,2.31
2017,6,2.59
2017,5,2.46
2017,4,2.45
2017,3,2.39
2017,2,2.36
2017,1,2.26
2016,52,2.39
2016,51,2.47
2016,50,2.56
2016,49,2.54
2016,48,2.52
2016,47,2.46
2016,46,2.65
2016,45,2.28
2016,44,2.27
2016,43,2.48
2016,42,2.18
2016,41,2.17
2016,40,2.11
2016,39,2.27
2016,38,2.48
2016,37,2.43
2016,36,2.20
2016,35,2.37
2016,34,2.13
2016,33,2.56
2016,32,2.43
2016,31,2.27
2016,30,2.31
2016,29,2.44
2016,28,2.45
2016,27,2.26
2016,26,2.41
2016,25,2.68
2016,24,2.57
2016,23,2.75
2016,22,2.65
2016,21,2.78
2016,20,2.70
2016,19,2.79
2016,18,2.59
2016,17,2.84
2016,16,2.63
2016,15,2.66
2016,14,2.56
2016,13,2.74
2016,12,2.78
2016,11,2.74
2016,10,2.87
2016,9,2.68
2016,8,2.98
2016,7,3.03
2016,6,2.83
2016,5,2.70
2016,4,2.95
2016,3,3.09
2016,2,2.88
2016,1,2.95
2015,53,3.17
2015,52,2.87
2015,51,2.97
2015,50,2.84
2015,49,2.94
2015,48,2.89
2015,47,3.15
2015,46,2.71
2015,45,3.16
2015,44,2.74
2015,43,2.75
2015,42,3.08
2015,41,2.98
2015,40,3.09
2015,39,3.18
2015,38,3.03
2015,37,3.02
2015,36,3.08
2015,35,3.19
2015,34,3.14
2015,33,3.01
2015,32,3.11
2015,31,3.13
2015,30,3.27
2015,29,3.33
2015,28,3.31
2015,27,3.17
2015,26,3.29
2015,25,3.09
2015,24,2.97
2015,23,2.85
2015,22,2.79
2015,21,2.85
2015,20,2.84
2015,19,2.57
2015,18,2.28
2015,17,2.13
2015,16,2.14
2015,15,2.33
2015,14,2.25
2015,13,2.34
2015,12,2.16
2015,11,2.21
2015,10,2.34
2015,9,2.28
2015,8,2.13
2015,7,2.22
2015,6,2.14
2015,5,2.34
2015,4,2.45
2015,3,2.53
2015,2,2.53
2015,1,2.64
2014,52,2.60
2014,51,2.61
2014,50,2.71
2014,49,2.64
2014,48,2.64
2014,47,2.66
2014,46,2.78
2014,45,2.72
2014,44,2.78
2014,43,2.76
2014,42,2.79
2014,41,2.80
2014,40,2.83
2014,39,2.88
2014,38,2.94
2014,37,2.93
2014,36,2.87
2014,35,2.92
2014,34,2.95
2014,33,2.97
2014,32,2.99
2014,31,3.03
2014,30,3.02
2014,29,3.03
2014,28,3.01
2014,27,3.04
2014,26,3.06
2014,25,3.09
2014,24,3.11
2014,23,3.12
2014,22,3.12
2014,21,3.12
2014,20,3.14
2014,19,3.19
2014,18,3.21
2014,17,3.22
2014,16,3.23
2014,15,3.24
2014,14,3.26
2014,13,3.35
2014,12,3.32
2014,11,3.34
2014,10,3.39
2014,9,3.43
2014,8,3.45
2014,7,3.50
2014,6,3.49
2014,5,3.56
2014,4,3.61
2014,3,3.62
2014,2,3.66
2014,1,3.64
2013,52,3.66
2013,51,3.56
2013,50,3.65
2013,49,3.58
2013,48,3.54
2013,47,3.55
2013,46,3.61
2013,45,3.59
2013,44,3.61
2013,43,3.67
2013,42,3.76
2013,41,3.70
2013,40,3.67
2013,39,3.78
2013,38,3.90
2013,37,3.90
2013,36,3.78
2013,35,3.74
2013,34,3.72
2013,33,3.59
2013,32,3.58
2013,31,3.55
2013,30,3.54
2013,29,3.50
2013,28,3.53
2013,27,3.41
2013,26,3.52
2013,25,3.37
2013,24,3.31
2013,23,3.22
2013,22,3.18
2013,21,3.11
2013,20,3.12
2013,19,3.12
2013,18,3.12
2013,17,3.17
2013,16,3.20
2013,15,3.25
2013,14,3.23
2013,13,3.36
2013,12,3.39
2013,11,3.42
2013,10,3.43
2013,9,3.47
2013,8,3.55
2013,7,3.49
